clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,guidance_scale,seed,proxy_arousal_foldmean
anxiolytic.anxiety_relief.p0.g3,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,3,musicgen-small,-20.76837672790845,0.46099853515625,3.1771722755291365,3.7609351817227874,4.0090360631334,112.34714673913044,6.4128256513026045,0.1005622297525405,0.0881073027849197,0.0504906121680284,3.0,0,3.2003524079892975
anxiolytic.anxiety_relief.p1.g1,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,1,musicgen-small,-23.105926013855942,0.5635986328125,3.5934891099651938,3.5273273658092865,3.625711999502166,123.046875,4.108216432865731,0.0902930423617363,0.0788607597351074,0.1097902989013431,3.0,0,3.497907557909592
anxiolytic.anxiety_relief.p1.g3,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,3,musicgen-small,-19.64633301782896,0.4705810546875,3.1598964072464133,3.090348966703248,2.863267889843933,129.19921875,7.080828323313293,0.1085865944623947,0.066370740532875,0.0599920611951167,3.0,0,3.139936110742206
anxiolytic.anxiety_relief.p2.g1,anxiolytic,anxiety_relief,peaceful music to calm my nerves,1,musicgen-small,-23.2066174884476,0.6181640625,2.966732505038408,3.263022907993614,3.038678392319228,123.046875,1.002004008016032,0.0677209421992302,0.0549554340541362,0.0678851832099058,3.0,0,3.2862349835882476
anxiolytic.anxiety_relief.p2.g3,anxiolytic,anxiety_relief,peaceful music to calm my nerves,3,musicgen-small,-25.27893830328584,0.2900390625,3.269284958665973,3.0757161762050105,2.76339430443299,117.45383522727272,0.8016032064128256,0.0550826080143451,0.0694957673549652,0.1388860437864134,3.0,0,3.0787923837282536
anxiolytic.anxiety_relief.p3.g1,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,1,musicgen-small,-25.87066628673475,0.338714599609375,3.006858784244973,3.37463232964603,2.811723112384274,129.19921875,2.171008684034736,0.0629802495241165,0.0480433255434036,0.1420167457571291,3.0,0,3.151573857785374
anxiolytic.anxiety_relief.p3.g3,anxiolytic,anxiety_relief,gentle reassuring music for stress relief,3,musicgen-small,-24.5106363936474,0.338714599609375,3.556066962596305,3.533757356757284,3.524502460506445,117.45383522727272,5.277221108884436,0.0649694353342056,0.0407708585262298,0.0992790352294217,3.0,0,3.6748828984906465
anxiolytic.anxiety_relief.p4.g1,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,1,musicgen-small,-14.641379328114231,0.80242919921875,3.401526912429842,3.9811855344486142,3.824963853244149,117.45383522727272,5.444221776887107,0.1762630492448806,0.0622207410633564,0.0596464513030029,3.0,0,3.9311161417362777
anxiolytic.anxiety_relief.p4.g3,anxiolytic,anxiety_relief,tranquil music to ease tension and worry,3,musicgen-small,-27.552905122651563,0.212066650390625,3.549353626021877,3.396485759448764,2.9578119322587715,103.359375,0.7682030728122912,0.0453577972948551,0.0534721054136753,0.1452405186391014,3.0,0,3.3062001153740637
anxiolytic.anxiety_relief.p5.g1,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,1,musicgen-small,-21.855965613843345,0.75286865234375,3.84581406724636,3.4180735190995004,3.329472920939346,78.30255681818181,1.4028056112224447,0.0786544010043144,0.0450622700154781,0.0667932425486078,3.0,0,3.7047138757206355
anxiolytic.anxiety_relief.p5.g3,anxiolytic,anxiety_relief,comforting slow music for when I feel overwhelmed,3,musicgen-small,-31.759785294794,0.165374755859375,3.4098211796283,2.923064996869367,3.655260049594581,129.19921875,1.5364061456245823,0.0260514672845602,0.0458994396030902,0.1083223171141636,3.0,0,3.3367212747901407
anxiolytic.anxiety_relief.p6.g1,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,1,musicgen-small,-24.601192835941504,0.375518798828125,3.3812322285040435,3.465828321570096,3.8295066135208273,129.19921875,5.8450233800935205,0.0695655941963195,0.0569013096392154,0.0719017741180383,3.0,0,3.4414588789786906
anxiolytic.anxiety_relief.p6.g3,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,3,musicgen-small,-30.781401254200556,0.294647216796875,3.654751780134983,3.5478575892583293,4.40435101292268,117.45383522727272,6.880427521710087,0.0320556312799453,0.0849079266190528,0.2158423789816604,3.0,0,3.509659224263023
anxiolytic.anxiety_relief.p7.g1,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,1,musicgen-small,-23.18866859335985,0.34674072265625,3.447548322073017,3.823778204473298,3.5855215109334617,112.34714673913044,3.5404141616566465,0.0743994414806366,0.0449071787297725,0.1510008722442446,3.0,0,3.063299837375826
anxiolytic.anxiety_relief.p7.g3,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,3,musicgen-small,-27.559476157028424,0.3162841796875,3.834240356894605,3.918312874703023,4.345109937583601,129.19921875,4.275217100868403,0.0447359792888164,0.0601041093468666,0.0963139469829128,3.0,0,3.520615200680993
anxiolytic.anxiety_relief.p8.g1,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,1,musicgen-small,-21.280265400183605,1.0,3.3387916617754057,3.3236573672141576,2.9160885001161923,129.19921875,5.243820975283901,0.1967700272798538,0.0643229335546493,0.1059631140251315,3.0,0,3.3659767525705093
anxiolytic.anxiety_relief.p8.g3,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,3,musicgen-small,-20.46005853774866,0.498138427734375,2.9134382624570385,3.588055665696691,3.879849062397572,123.046875,5.878423513694054,0.0859128981828689,0.0453480817377567,0.1109621249203265,3.0,0,3.2833172837663547
anxiolytic.anxiety_relief.p9.g1,anxiolytic,anxiety_relief,serene music that helps anxiety melt away,1,musicgen-small,-24.61091068096393,0.669769287109375,2.518981386731041,3.883841603433496,3.0537992716742632,123.046875,3.8076152304609217,0.0446346327662467,0.0522106997668743,0.1215917754988232,3.0,0,2.529506600376694
anxiolytic.anxiety_relief.p9.g3,anxiolytic,anxiety_relief,serene music that helps anxiety melt away,3,musicgen-small,-28.617452333081346,0.33026123046875,3.2113126209402383,3.078844599313414,3.372536228242403,112.34714673913044,3.8076152304609217,0.0375834442675113,0.0731080695986747,0.1632578805976841,3.0,0,3.091545593738082
anxiolytic.meditation.p0.g1,anxiolytic,meditation,slow meditation music with soft sustained tones,1,musicgen-small,-18.68071841299743,0.5609130859375,3.400907812887811,3.516076018318946,3.527171279971162,123.046875,5.711422845691383,0.120320901274681,0.0693153887987136,0.0460862826414377,3.0,0,3.342203755977775
anxiolytic.meditation.p0.g3,anxiolytic,meditation,slow meditation music with soft sustained tones,3,musicgen-small,-27.335739341410576,0.30303955078125,3.532214358559716,3.1094968188304764,3.799965191345784,123.046875,6.279225116900467,0.0433562919497489,0.0815971940755844,0.0467822854516661,3.0,0,3.5294882063923323
anxiolytic.meditation.p1.g1,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,1,musicgen-small,-7.966549770838653,1.0,3.467247301676124,3.017277021837768,2.934922236379707,129.19921875,3.3734134936539744,0.4561822414398193,0.0424001067876815,0.0360834432609814,3.0,0,3.108941305403209
anxiolytic.meditation.p1.g3,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,3,musicgen-small,-12.292782899323331,0.876617431640625,3.980650489633669,3.7660522732271327,3.840131476582633,123.046875,4.342017368069472,0.2604766488075256,0.063529759645462,0.0408866291181407,3.0,0,4.082033655604552
anxiolytic.meditation.p2.g1,anxiolytic,meditation,"serene meditative soundscape, gentle and warm",1,musicgen-small,-20.53458110916872,0.427093505859375,3.3200207453154924,3.343439831652198,3.682393485206528,129.19921875,6.4796259185036735,0.111819788813591,0.0555003769695758,0.1677136177710416,3.0,0,3.2815346246348036
anxiolytic.meditation.p2.g3,anxiolytic,meditation,"serene meditative soundscape, gentle and warm",3,musicgen-small,-31.10827977161983,0.167236328125,3.06427100070261,3.1918045282270984,3.809098362162616,123.046875,7.448229792919172,0.0353405401110649,0.070211611688137,0.161386381718144,3.0,0,3.2501873127442567
anxiolytic.meditation.p3.g1,anxiolytic,meditation,"calm breathing meditation music, very slow tempo",1,musicgen-small,-20.072592298780798,0.604827880859375,2.867631959811741,3.445532028099182,3.3664517996591874,123.046875,5.511022044088176,0.1040820702910423,0.0466647073626518,0.103523477543262,3.0,0,2.9331738328422974
anxiolytic.meditation.p3.g3,anxiolytic,meditation,"calm breathing meditation music, very slow tempo",3,musicgen-small,-26.109024023121364,0.25714111328125,3.6545465564531567,3.2982060814104432,3.4025154072517534,123.046875,7.581830327321309,0.0555892474949359,0.0484885424375534,0.0333043747203603,3.0,0,3.6147158196028464
anxiolytic.meditation.p4.g1,anxiolytic,meditation,still and spacious ambient music for deep relaxation,1,musicgen-small,-17.967630934966866,0.730804443359375,3.152102666874625,3.2252461713536835,2.924588402698544,123.046875,4.3086172344689375,0.1373144388198852,0.0440203584730625,0.09482090473523,3.0,0,3.2427612734062494
anxiolytic.meditation.p4.g3,anxiolytic,meditation,still and spacious ambient music for deep relaxation,3,musicgen-small,-24.74869507098927,0.492156982421875,2.966410705064642,2.940108012688927,3.290940480022256,117.45383522727272,4.976619906479626,0.0587239824235439,0.0868275091052055,0.0907803104916984,3.0,0,3.0638943404653367
anxiolytic.meditation.p5.g1,anxiolytic,meditation,floating ambient drone for quiet meditation,1,musicgen-small,-20.719002282262284,0.564849853515625,3.227558914997176,3.4122553791801877,4.087763078967555,117.45383522727272,7.114228456913827,0.1048161834478378,0.0549624003469944,0.1318932788113604,3.0,0,3.29607580237415
anxiolytic.meditation.p5.g3,anxiolytic,meditation,floating ambient drone for quiet meditation,3,musicgen-small,-22.44726776631456,0.4781494140625,2.3626403480803324,3.611408778455948,3.424529086119043,112.34714673913044,6.346025384101536,0.0498827546834945,0.0712964981794357,0.0779793741179233,3.0,0,2.571370080330579
