clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,num_inference_steps,cfg_scale,seed,clip_seed,config,proxy_arousal_foldmean
anxiolytic.sleep.p0.g1,anxiolytic,sleep,calm peaceful music for deep sleep,1,stable-audio-3-medium,-26.423785852329814,0.40301513671875,2.607689825208256,3.1619647217083777,2.7969692823446097,129.19921875,0.6671612079326923,0.0295086000114679,0.0260739903897047,0.1062913399864114,8,1.0,0,2509,sweep_s8_cfg1.0,2.6242304761740454
anxiolytic.sleep.p0.g3,anxiolytic,sleep,calm peaceful music for deep sleep,3,stable-audio-3-medium,-23.37436409629644,0.559661865234375,2.852649715529652,3.399174476608851,3.0476943006278963,80.74951171875,1.1345207125922023,0.0616178251802921,0.0321662873029708,0.0838960177318638,8,1.0,0,2344,sweep_s8_cfg1.0,2.9649614009867706
anxiolytic.sleep.p1.g1,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,1,stable-audio-3-medium,-19.181004303671177,0.576690673828125,3.200056135790635,3.189131174631629,2.727428835149547,86.1328125,1.366084929435484,0.0765731781721115,0.0332322679460048,0.0355429517132323,8,1.0,0,84661,sweep_s8_cfg1.0,3.228999562115624
anxiolytic.sleep.p1.g3,anxiolytic,sleep,soft soothing lullaby to help me fall asleep,3,stable-audio-3-medium,-23.5015910734061,0.349853515625,3.161579593127961,3.377422229921154,1.992160698462297,143.5546875,1.465793405591572,0.0458161942660808,0.0375125333666801,0.0302230608904801,8,1.0,0,83244,sweep_s8_cfg1.0,3.078582976211891
anxiolytic.anxiety_relief.p0.g1,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,1,stable-audio-3-medium,-21.54664389934271,0.431884765625,2.8470290242606984,3.5089445554994736,3.232144013143425,89.10290948275862,2.887637506547931,0.0883003398776054,0.0406751260161399,0.1220306099032692,8,1.0,0,36515,sweep_s8_cfg1.0,3.006508586626969
anxiolytic.anxiety_relief.p0.g3,anxiolytic,anxiety_relief,calming music to relieve anxiety and stress,3,stable-audio-3-medium,-21.67057705778729,0.686309814453125,2.517666274822619,2.940700360437189,2.9185081852697303,129.19921875,0.3252047936893204,0.0509638041257858,0.0187425054609775,0.1200390437193788,8,1.0,0,90230,sweep_s8_cfg1.0,2.737274475782603
anxiolytic.anxiety_relief.p1.g1,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,1,stable-audio-3-medium,-24.39045053370801,0.50201416015625,3.4784979694593194,3.050555925009739,3.3561872104823567,112.34714673913044,0.9136794903956422,0.0360927581787109,0.0306721497327089,0.0888065872611818,8,1.0,0,92823,sweep_s8_cfg1.0,3.5956533765460037
anxiolytic.anxiety_relief.p1.g3,anxiolytic,anxiety_relief,soothing music for panic and anxious thoughts,3,stable-audio-3-medium,-21.06549100879828,0.789947509765625,3.521202827916431,3.3993626738148093,2.9955543106257547,80.74951171875,0.8742112379807692,0.0808669552206993,0.0326074063777923,0.1636812697609121,8,1.0,0,41395,sweep_s8_cfg1.0,3.4302841855211157
anxiolytic.meditation.p0.g1,anxiolytic,meditation,slow meditation music with soft sustained tones,1,stable-audio-3-medium,-20.940904336498832,0.43048095703125,3.734327390534521,4.253418219135783,4.280187337155862,129.19921875,7.393862668383519,0.0852007567882537,0.0519395396113395,0.0838293069079088,8,1.0,0,46385,sweep_s8_cfg1.0,3.5223536301243583
anxiolytic.meditation.p0.g3,anxiolytic,meditation,slow meditation music with soft sustained tones,3,stable-audio-3-medium,-19.90617901095401,0.68670654296875,3.109416223486914,3.628447305856852,3.9871878972144223,123.046875,6.094725546305932,0.1039448380470275,0.0624533109366893,0.0659373244428988,8,1.0,0,15510,sweep_s8_cfg1.0,3.273119278225775
anxiolytic.meditation.p1.g1,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,1,stable-audio-3-medium,-17.52679632159278,0.64349365234375,3.8907960334941336,4.229292120023615,3.864312046528494,123.046875,3.090781662269129,0.1236641258001327,0.0492917373776435,0.0467616644807634,8,1.0,0,7165,sweep_s8_cfg1.0,3.746598035417287
anxiolytic.meditation.p1.g3,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,3,stable-audio-3-medium,-17.38206080394627,0.71697998046875,3.813350272029635,3.524865380699422,4.052118576427692,123.046875,5.965811634213278,0.1305468082427978,0.0474050380289554,0.1566663318778005,8,1.0,0,50091,sweep_s8_cfg1.0,3.749907390389528
anxiolytic.study_calm.p0.g1,anxiolytic,study_calm,soft calm background music for focused studying,1,stable-audio-3-medium,-25.565882486857035,0.3526611328125,2.9864242821071643,3.2983138750199545,2.812676722514808,129.19921875,1.1096014492753623,0.0456210114061832,0.0266856048256158,0.1114708605511118,8,1.0,0,42617,sweep_s8_cfg1.0,2.917135561430219
anxiolytic.study_calm.p0.g3,anxiolytic,study_calm,soft calm background music for focused studying,3,stable-audio-3-medium,-19.937066407902737,0.972076416015625,4.046294292795741,3.629289793419976,3.856062240616729,86.1328125,3.021008455300633,0.0977347716689109,0.0376504436135292,0.1184651889918595,8,1.0,0,17283,sweep_s8_cfg1.0,4.439757138917299
anxiolytic.study_calm.p1.g1,anxiolytic,study_calm,gentle low-key instrumental music for concentration,1,stable-audio-3-medium,-26.245442071602465,0.409515380859375,2.502444578069052,3.280426770929078,2.9649021537921776,151.99908088235293,0.7885071688206785,0.0311404205858707,0.0319773182272911,0.1392017829389372,8,1.0,0,64939,sweep_s8_cfg1.0,2.9040842008235828
anxiolytic.study_calm.p1.g3,anxiolytic,study_calm,gentle low-key instrumental music for concentration,3,stable-audio-3-medium,-21.51079741384775,0.674224853515625,3.0518300382589945,3.115490631639175,3.0995136862778825,60.09265988372093,0.9987791620651576,0.0673173740506172,0.0408748425543308,0.0654093519834704,8,1.0,0,2423,sweep_s8_cfg1.0,3.1913323593824243
