clip_id,prompt_id,group,category,prompt,seed,clip_seed,num_inference_steps,cfg_scale,duration_s,lufs_in,proxy_arousal_deploy,proxy_valence_deploy,proxy_arousal_foldmean,proxy_arousal_lufs23_deploy,proxy_arousal_lufs23_foldmean,aux_arousal,aux_arousal_lufs23,clap_similarity,tempo_bpm,onset_density,spectral_flux_mean,roughness,rms_mean,spectral_centroid_mean,mode_majorness
anxiolytic.anxiety_relief.p6.g1,anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,0,38356,8,1.0,45.0,-28.62359150607941,3.7676618662674897,2.789639439794048,3.677281447713878,3.845715218799176,3.7001449561136965,3.2982044394804326,3.3467960665663385,0.2254409787784652,123.046875,1.6942658492822968,0.0311645530164241,0.1095650535696742,0.0330920740962028,556.0060012523927,0.1779531589058366
anxiolytic.anxiety_relief.p6.g3,anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,0,65735,8,1.0,45.0,-19.959214313962523,4.013663624687125,3.919961466563752,3.9978714593288656,3.2466343489181493,3.3942852931406478,3.867113442715781,3.7953853661763497,0.3160996057091663,117.45383522727272,2.858175442913386,0.0396040789783,0.1486693827984441,0.102226622402668,954.6903154793198,0.0451848990523349
anxiolytic.anxiety_relief.p6.g5,anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,0,71436,8,1.0,45.0,-18.45523354557661,3.736705145916568,4.179749817664281,3.7068707576039026,3.1621440132575613,3.437446011659984,3.458847797555993,3.387420367694615,0.2647240913082813,123.046875,1.495691066014333,0.0301278941333293,0.1502049464980724,0.12137071788311,781.6538556634562,0.1908757006852597
anxiolytic.anxiety_relief.p6.g7,anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,0,98783,8,1.0,45.0,-17.84559792798838,2.793292222343458,3.2150829223301165,3.2405380463249136,2.73553633036746,3.0246084824764603,3.352043132935557,3.264666415118275,0.2844994065300757,143.5546875,1.0492874404131356,0.0330755636096,0.1249880699461285,0.1235357895493507,456.3079003005263,0.3027648053480474
anxiolytic.anxiety_relief.p6.g9,anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,0,25409,8,1.0,45.0,-16.644251570659655,4.147518254786614,4.25682851144673,4.2835367343339685,3.3596294792919585,3.547356053211221,4.364731377306721,4.262531747099449,0.2530578523166326,129.19921875,3.286646792763158,0.030454384163022,0.1708352386147757,0.1508663594722747,1401.475545414289,0.3297690980767982
anxiolytic.anxiety_relief.p6.g11,anxiolytic.anxiety_relief.p6,anxiolytic,anxiety_relief,soft grounding music to slow my racing heart,0,82952,8,1.0,45.0,-17.840076505886614,4.666429200934871,3.985006217398078,4.400490284524386,3.384119801906744,3.524291870850983,3.945290849614496,3.763608449647866,0.2612548467884583,123.046875,2.167153205299786,0.039870373904705,0.1742700183787824,0.1327030658721923,1118.7912246432911,-0.1105308805222252
anxiolytic.anxiety_relief.p7.g1,anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,0,21873,8,1.0,45.0,-23.157233519143283,3.5525944588882714,3.53532338797888,3.512917292284809,3.517130774897756,3.512238474494231,3.398552641829411,3.3994584435034554,0.3460688793815855,86.1328125,1.6459935373036647,0.0395232364535331,0.0837457807082814,0.0561907179653644,662.827877664346,0.30676298512884
anxiolytic.anxiety_relief.p7.g3,anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,0,23394,8,1.0,45.0,-21.156472154417195,3.1012704172344017,3.7087171157210257,3.1564431531642616,2.962973694098241,2.9679743700772727,3.63988546821113,3.6145278819723208,0.4069207306607367,117.45383522727272,2.0809397977941173,0.0370123572647571,0.2154898820763693,0.08737563341856,729.9457844943505,0.2122986517128179
anxiolytic.anxiety_relief.p7.g5,anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,0,53725,8,1.0,45.0,-27.702001821429388,3.0566054756522574,3.249625606158168,3.2134364371742485,2.826388134176603,3.0830181689046485,3.362481072125799,3.3999700778011217,0.3211474010800982,172.265625,1.5333333333333334,0.0360063873231411,0.0961590595728804,0.0346766784787178,598.4720843628695,0.300625646972348
anxiolytic.anxiety_relief.p7.g7,anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,0,93349,8,1.0,45.0,-20.810511644799817,4.418820836410503,4.161039097295522,4.15939185332824,4.013413033654015,3.8186498774407367,4.562215081382585,4.475959308416536,0.3383642633371027,172.265625,3.911111111111111,0.0514155849814415,0.1473833743191244,0.1002626493573188,1376.3359884657705,-0.0076532162292431
anxiolytic.anxiety_relief.p7.g9,anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,0,49705,8,1.0,45.0,-21.33250730412131,3.5491350274249247,4.810569988932671,3.9711586006807367,3.484828029870888,3.797112505490363,4.220241274669951,4.184973545910493,0.326885600173555,172.265625,3.779343060299527,0.0342864654958248,0.1748014818422822,0.092376708984375,1297.4429179646856,0.1353893461519365
anxiolytic.anxiety_relief.p7.g11,anxiolytic.anxiety_relief.p7,anxiolytic,anxiety_relief,warm gentle music to feel safe and relaxed,0,96736,8,1.0,45.0,-25.34980309133581,2.8513077535869518,2.619263144682328,2.8440803154943084,2.921715644379804,2.8010933676510503,3.0196767008767518,3.0172652258303394,0.3062683936871093,129.19921875,0.6438117325146823,0.0277179684489965,0.0728891367779206,0.0342759303748607,547.78994100604,0.352968739594773
anxiolytic.anxiety_relief.p8.g1,anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,0,70513,8,1.0,45.0,-20.860355173430797,3.174417274675478,4.288451446950331,3.0743651964000094,3.153519465430043,3.0383336435036554,3.885379661666307,3.851822321259011,0.3434750042982369,123.046875,6.2833840854632586,0.045696523040533,0.0776336043181649,0.0885943844914436,925.256792494976,0.1241651037792715
anxiolytic.anxiety_relief.p8.g3,anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,0,4498,8,1.0,45.0,-30.162166995115246,3.372768707820946,2.8067688250602774,3.2653978203717493,2.9827658527223817,3.0961397685234706,3.0192668654476917,3.049765814913304,0.3014629659894262,123.046875,1.46407761833159,0.0310878716409206,0.0759330154301166,0.029097469523549,1184.994489742534,0.100697595313728
anxiolytic.anxiety_relief.p8.g5,anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,0,45747,8,1.0,45.0,-30.55720828523431,3.9946674097104937,3.0511463245463664,3.906430079964765,3.9354557899378095,3.740658348682836,3.37394222649335,3.410182760643592,0.3168013281516006,123.046875,4.076552972560976,0.0349112711846828,0.1045280916760446,0.0295485965907573,896.9831914190302,0.1049698453805099
anxiolytic.anxiety_relief.p8.g7,anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,0,57433,8,1.0,45.0,-19.72935921172546,3.5451953044504005,4.1467693399484284,3.8995232198794127,3.514099245496992,3.7796074264621664,3.945209248410128,3.9009025676170994,0.350405108626568,123.046875,4.232627467105263,0.0421152748167514,0.1245577846814326,0.1021366268396377,965.1911729579527,0.2895105586867136
anxiolytic.anxiety_relief.p8.g9,anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,0,15395,8,1.0,45.0,-30.803553232941645,3.053483069389631,3.417228771944413,3.0385176828141356,2.7315760487937317,2.799001407354886,3.2066089597419865,3.223794956801755,0.3634126019911857,123.046875,2.4687748805732483,0.029161624610424,0.122266704264912,0.0241279769688844,1180.2672675061517,-0.3258358722915073
anxiolytic.anxiety_relief.p8.g11,anxiolytic.anxiety_relief.p8,anxiolytic,anxiety_relief,quiet consoling music for a stressful day,0,20682,8,1.0,45.0,-21.856274151027264,3.5786417814285216,3.152744548650406,3.442744260733724,3.540266382928421,3.5043563863440084,2.7743727612890035,2.7730642369798093,0.3696784593746831,123.046875,0.7702934451219512,0.0329229049384593,0.0859161668529796,0.072857066988945,1554.7712744567757,0.0116764542937768
anxiolytic.anxiety_relief.p9.g1,anxiolytic.anxiety_relief.p9,anxiolytic,anxiety_relief,serene music that helps anxiety melt away,0,75083,8,1.0,45.0,-20.60676058552413,2.941970268998965,3.7055258185029767,3.4068236872896103,2.668015148178564,3.1675976667855394,2.8198311398421017,2.805587484434146,0.2891953757013966,123.046875,0.1026001340083383,0.0303476136177778,0.3437910081753881,0.0948621332645416,1111.2417144612537,0.0791734963921628
anxiolytic.anxiety_relief.p9.g3,anxiolytic.anxiety_relief.p9,anxiolytic,anxiety_relief,serene music that helps anxiety melt away,0,9032,8,1.0,45.0,-22.90613938068128,3.236476218652153,3.28179278520686,3.5141627391487873,3.2007416469502155,3.5145324175012362,3.5354593901963334,3.5421947582210223,0.4348601098480378,129.19921875,5.448509000672948,0.0343834869563579,0.1036216805150449,0.0539219081401824,1587.92711770561,-0.0050733570217557
